Recall	Trained on Michael set (area: 0.59)	Trained on Wookie set (area: 0.70)
6.381909547738693345e-01	4.365541995692749366e-01	6.730562105038068177e-01
6.432160804020100597e-01	4.385068198133524886e-01	6.747773957506832954e-01
6.482412060301507850e-01	4.318121527698826068e-01	6.764854976637574291e-01
6.532663316582915103e-01	4.336804687085503152e-01	6.712026363671925733e-01
6.582914572864321245e-01	4.355487846472179680e-01	6.728942418805577974e-01
6.633165829145728498e-01	4.374171005858856764e-01	6.677721943048575692e-01
6.683417085427135751e-01	4.392854165245533848e-01	6.694472361809045147e-01
6.733668341708543004e-01	4.411537324632210932e-01	6.516169345607800700e-01
6.783919597989950256e-01	4.429950915681454826e-01	6.533057370496996308e-01
6.834170854271356399e-01	4.447929050185615574e-01	6.549726655254293206e-01
6.884422110552763652e-01	4.465907184689776876e-01	6.566293003478933521e-01
6.934673366834170904e-01	4.483885319193937624e-01	6.582643676604044147e-01
6.984924623115578157e-01	4.501863453698098372e-01	6.598897452220672255e-01
7.035175879396985410e-01	4.519841588202259675e-01	6.614938561614278623e-01
7.085427135678391553e-01	4.537467210265161977e-01	6.630888528340874721e-01
7.135678391959798805e-01	4.554779487935835536e-01	6.646628782541993408e-01
7.185929648241206058e-01	4.572091765606509095e-01	6.662283379514394310e-01
7.236180904522613311e-01	4.589404043277182654e-01	6.677731163462572450e-01
7.286432160804020564e-01	4.606716320947856214e-01	6.693098520123553774e-01
7.336683417085426706e-01	4.624028598618529218e-01	6.647479823359220275e-01
7.386934673366833959e-01	4.556712132089016376e-01	6.662707476777828264e-01
7.437185929648241212e-01	4.573353781896495329e-01	6.618308038295142026e-01
7.487437185929648464e-01	4.589995431703974282e-01	6.633396120933364726e-01
7.537688442211055717e-01	4.606637081511453791e-01	6.533040012656987638e-01
7.587939698492462970e-01	4.623278731318932744e-01	6.548107855619929030e-01
7.638190954773869112e-01	4.639920381126411697e-01	6.507068152583866949e-01
7.688442211055276365e-01	3.836124355794316987e-01	6.521991385290933918e-01
7.738693467336683618e-01	3.851418216401701899e-01	6.481968666863731077e-01
7.788944723618090871e-01	3.866712077009086812e-01	6.496748448122967590e-01
7.839195979899498123e-01	3.882005937616471725e-01	6.353027924832660434e-01
7.889447236180904266e-01	3.897299798223856082e-01	6.367854219958960504e-01
