Recall	Trained model (area: 0.70)	Random classifier (area: 0.33)
5.678391959798995137e-01	6.619334703613828363e-01	3.765866861903335860e-01
5.728643216080402389e-01	6.639008998480775414e-01	3.786565276714699557e-01
5.778894472361809642e-01	6.658486229597599948e-01	3.807145697115764116e-01
5.829145728643215785e-01	6.677706715395157477e-01	3.802600985574677295e-01
5.879396984924623037e-01	6.696741282168418019e-01	3.822861868974786748e-01
5.929648241206030290e-01	6.715523480528279299e-01	3.793793399465070215e-01
5.979899497487437543e-01	6.734130304227983199e-01	3.813695293386744622e-01
6.030150753768844796e-01	6.752489036945025225e-01	3.692598861432705992e-01
6.080402010050250938e-01	6.770682375673624520e-01	3.711960972000508119e-01
6.130653266331658191e-01	6.788631803707181334e-01	3.642504576984669784e-01
6.180904522613065444e-01	6.806425288837349985e-01	3.661442603267110463e-01
6.231155778894472697e-01	6.750054620930741045e-01	3.658633725905067191e-01
6.281407035175879949e-01	6.767674276008373013e-01	3.677302923285156178e-01
6.331658291457286092e-01	6.713117659968375062e-01	3.695835357940251975e-01
6.381909547738693345e-01	6.730562105038068177e-01	3.714287471629875159e-01
6.432160804020100597e-01	6.747773957506832954e-01	3.627354062255669920e-01
6.482412060301507850e-01	6.764854976637574291e-01	3.645377270405860126e-01
6.532663316582915103e-01	6.712026363671925733e-01	3.602662087073092434e-01
6.582914572864321245e-01	6.728942418805577974e-01	3.620357265655579915e-01
6.633165829145728498e-01	6.677721943048575692e-01	3.618081498010365382e-01
6.683417085427135751e-01	6.694472361809045147e-01	3.635542287345494561e-01
6.733668341708543004e-01	6.516169345607800700e-01	3.633167289513536957e-01
6.783919597989950256e-01	6.533057370496996308e-01	3.650399629650724065e-01
6.834170854271356399e-01	6.549726655254293206e-01	3.647930173109260044e-01
6.884422110552763652e-01	6.566293003478933521e-01	3.664939785970471320e-01
6.934673366834170904e-01	6.582643676604044147e-01	3.662380406627960272e-01
6.984924623115578157e-01	6.598897452220672255e-01	3.679172806387828731e-01
7.035175879396985410e-01	6.614938561614278623e-01	3.676527817972936596e-01
7.085427135678391553e-01	6.630888528340874721e-01	3.693108320836293035e-01
7.135678391959798805e-01	6.646628782541993408e-01	3.652601048150222462e-01
7.185929648241206058e-01	6.662283379514394310e-01	3.668904438466534801e-01
7.236180904522613311e-01	6.677731163462572450e-01	3.611520288007200041e-01
7.286432160804020564e-01	6.693098520123553774e-01	3.627520688017200623e-01
7.336683417085426706e-01	6.647479823359220275e-01	3.643405441571682668e-01
7.386934673366833959e-01	6.662707476777828264e-01	3.659247421779603937e-01
7.437185929648241212e-01	6.618308038295142026e-01	3.621291396599383150e-01
7.487437185929648464e-01	6.633396120933364726e-01	3.636879638543177862e-01
7.537688442211055717e-01	6.533040012656987638e-01	3.634742833453779576e-01
7.587939698492462970e-01	6.548107855619929030e-01	3.650148736996016718e-01
7.638190954773869112e-01	6.507068152583866949e-01	3.647936652961778492e-01
7.688442211055276365e-01	6.521991385290933918e-01	3.663164306380386481e-01
7.738693467336683618e-01	6.481968666863731077e-01	3.626568188227345946e-01
7.788944723618090871e-01	6.496748448122967590e-01	3.641561323355843038e-01
7.839195979899498123e-01	6.353027924832660434e-01	3.622651146155765889e-01
7.889447236180904266e-01	6.367854219958960504e-01	3.637446062879682307e-01
7.939698492462311519e-01	6.382493110714864137e-01	3.652133750390645917e-01
7.989949748743718771e-01	6.397082185119143949e-01	3.666792933933609167e-01
8.040201005025126024e-01	6.261686338670094942e-01	3.664566084886866637e-01
8.090452261306533277e-01	6.276294262007713343e-01	3.679063645333349730e-01
8.140703517587939420e-01	6.056701417535438337e-01	3.660241578757927328e-01
8.190954773869346672e-01	6.071424007822417979e-01	3.674553838152098684e-01
8.241206030150753925e-01	6.085969060991230917e-01	3.672323921193267893e-01
8.291457286432161178e-01	6.100475142597520106e-01	3.686482013240807154e-01
8.341708542713568431e-01	5.509045751588196316e-01	3.620235565177667425e-01
8.391959798994974573e-01	5.523933715282582924e-01	3.634139074820744164e-01
8.442211055276381826e-01	5.502557350030007344e-01	3.632246626056135352e-01
8.492462311557789079e-01	5.517273149552192057e-01	3.646004924727232477e-01
8.542713567839196331e-01	5.392158627705840868e-01	3.628573810270248057e-01
8.592964824120603584e-01	5.406760736250314503e-01	3.642165026357898627e-01
8.643216080402009727e-01	5.224585872040010681e-01	3.609853661613506848e-01
8.693467336683416979e-01	5.239079662643263413e-01	3.623257500893589111e-01
8.743718592964824232e-01	5.160406977456023503e-01	3.606564605498669973e-01
8.793969849246231485e-01	5.174749487080372301e-01	3.619809758584440207e-01
8.844221105527638738e-01	5.158677926556487492e-01	3.588734628013177663e-01
8.894472361809044880e-01	5.172858717632771164e-01	3.601801509439829241e-01
8.944723618090452133e-01	5.186893602303762618e-01	3.557271273842176340e-01
8.994974874371859386e-01	5.200910453598818206e-01	3.570141544375262654e-01
9.045226130653266639e-01	4.851192307925690228e-01	3.582920247766216426e-01
9.095477386934673891e-01	4.865061897377174205e-01	3.595688777030267014e-01
9.145728643216080034e-01	4.852909147787796140e-01	3.552304398959172937e-01
9.195979899497487287e-01	4.866627406988787707e-01	3.564885022949028648e-01
9.246231155778894539e-01	4.635544556955632500e-01	3.577376271077334358e-01
9.296482412060301792e-01	4.649054316810181664e-01	3.589859747391592748e-01
9.346733668341709045e-01	4.505127364806194024e-01	3.574699857098954658e-01
9.396984924623115187e-01	4.518432463319944081e-01	3.587045519781058567e-01
9.447236180904522440e-01	4.384400469184856486e-01	3.599302932098742969e-01
9.497487437185929693e-01	4.397493496768943855e-01	3.611554711414443064e-01
9.547738693467336946e-01	4.272322535161393042e-01	3.623718315045674210e-01
9.597989949748744198e-01	4.285199218385328246e-01	3.635877277851407574e-01
9.648241206030150341e-01	4.114670460869541135e-01	3.634207353978004540e-01
9.698492462311557594e-01	4.127281250771039911e-01	3.646255108711382031e-01
9.748743718592964846e-01	4.139788375704704371e-01	3.604117347706140562e-01
9.798994974874372099e-01	4.152292294505343095e-01	3.615998538544849539e-01
9.849246231155779352e-01	3.870128781936547080e-01	3.614480774915300731e-01
9.899497487437186605e-01	3.882231909896867728e-01	3.626255875369088777e-01
9.949748743718592747e-01	3.637945885680911040e-01	3.637945885680911040e-01
1.000000000000000000e+00	3.649635036496350349e-01	3.649635036496350349e-01
