Recall	Trained model (area: 0.59)	Random classifier (area: 0.13)
3.668341708542713353e-01	8.059045226130653328e-01	1.674389967857304595e-01
3.718592964824120606e-01	8.080402010050251604e-01	1.693476390963828127e-01
3.768844221105527859e-01	8.101758793969849881e-01	1.712562814070351935e-01
3.819095477386934556e-01	8.123115577889447048e-01	1.731649237176875467e-01
3.869346733668341809e-01	8.142181495713863848e-01	1.641106768409951178e-01
3.919597989949749062e-01	8.161025716819391151e-01	1.658772256343445939e-01
3.969849246231155759e-01	8.179869937924918455e-01	1.676437744276940423e-01
4.020100502512563012e-01	8.198714159030445758e-01	1.694103232210434906e-01
4.070351758793969710e-01	8.217558380135974172e-01	1.711768720143929390e-01
4.120603015075376963e-01	7.369743454112668291e-01	1.729408863044520905e-01
4.170854271356784215e-01	7.392224279291192968e-01	1.746643485418662156e-01
4.221105527638190913e-01	7.414705104469716535e-01	1.763878107792803129e-01
4.271356783919598166e-01	7.437185929648241212e-01	1.781112730166944380e-01
4.321608040201004863e-01	7.459666754826764778e-01	1.798347352541085353e-01
4.371859296482412116e-01	7.482147580005289456e-01	1.815581974915226604e-01
4.422110552763819369e-01	5.362774463450256102e-01	1.598856544761883547e-01
4.472361809045226066e-01	5.390127979800479752e-01	1.613971312328720820e-01
4.522613065326633319e-01	5.417481496150704512e-01	1.629086079895558647e-01
4.572864321608040017e-01	5.444835012500928162e-01	1.644200847462395920e-01
4.623115577889447270e-01	5.472188528851151812e-01	1.659315615029233471e-01
4.673366834170854522e-01	5.499542045201376572e-01	1.674430382596071021e-01
4.723618090452261220e-01	5.342410979629329537e-01	1.543321000607432714e-01
4.773869346733668473e-01	5.368130977467985288e-01	1.557089476687466834e-01
4.824120603015075170e-01	5.393850975306639928e-01	1.570857952767500676e-01
4.874371859296482423e-01	5.419570973145295678e-01	1.584626428847534518e-01
4.924623115577889676e-01	5.445290970983951429e-01	1.598394904927568361e-01
4.974874371859296374e-01	5.471010968822607179e-01	1.612163381007602203e-01
5.025125628140703071e-01	5.163697274250037550e-01	1.595438250442242079e-01
5.075376884422110324e-01	5.188061519719810999e-01	1.608744657868783068e-01
5.125628140703517577e-01	5.212425765189584448e-01	1.622051065295323780e-01
5.175879396984924830e-01	5.236790010659357897e-01	1.635357472721864769e-01
5.226130653266332082e-01	5.261154256129130236e-01	1.648663880148405481e-01
5.276381909547738225e-01	5.285518501598903685e-01	1.661970287574946192e-01
5.326633165829145478e-01	5.014939562678255580e-01	1.471025465644508756e-01
5.376884422110552730e-01	5.038027977726470263e-01	1.482787659778040390e-01
5.427135678391959983e-01	5.061116392774683836e-01	1.494549853911572024e-01
5.477386934673367236e-01	5.084204807822898520e-01	1.506312048045103658e-01
5.527638190954774489e-01	5.107293222871112093e-01	1.518074242178635291e-01
5.577889447236180631e-01	5.130381637919325666e-01	1.529836436312166648e-01
5.628140703517587884e-01	4.059392708221960522e-01	1.459169546553028829e-01
5.678391959798995137e-01	4.080598025588937361e-01	1.470235749648078349e-01
5.728643216080402389e-01	4.101803342955914200e-01	1.481301952743128147e-01
5.778894472361809642e-01	4.123008660322891039e-01	1.492368155838177668e-01
5.829145728643215785e-01	4.144213977689867878e-01	1.503434358933227188e-01
